Tag,Name,Keep
GEO.id,Id,
GEO.id2,Id2,
GEO.display-label,Geography,x
HC01_VC03,Estimate; HOUSEHOLDS BY TYPE - Total households,
HC02_VC03,Margin of Error; HOUSEHOLDS BY TYPE - Total households,
HC03_VC03,Percent; HOUSEHOLDS BY TYPE - Total households,x
HC04_VC03,Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households,
HC01_VC04,Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families),
HC02_VC04,Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families),
HC03_VC04,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families),x
HC04_VC04,Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families),
HC01_VC05,Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - With own children of the householder under 18 years,
HC02_VC05,Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - With own children of the householder under 18 years,
HC03_VC05,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - With own children of the householder under 18 years,x
HC04_VC05,Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - With own children of the householder under 18 years,
HC01_VC06,Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family,
HC02_VC06,Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family,
HC03_VC06,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family,x
HC04_VC06,Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family,
HC01_VC07,Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family - With own children of the householder under 18 years,
HC02_VC07,Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family - With own children of the householder under 18 years,
HC03_VC07,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family - With own children of the householder under 18 years,x
HC04_VC07,Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family - With own children of the householder under 18 years,
HC01_VC08,"Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family",
HC02_VC08,"Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family",
HC03_VC08,"Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family",x
HC04_VC08,"Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family",
HC01_VC09,"Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family - With own children of the householder under 18 years",
HC02_VC09,"Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family - With own children of the householder under 18 years",
HC03_VC09,"Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family - With own children of the householder under 18 years",
HC04_VC09,"Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family - With own children of the householder under 18 years",
HC01_VC10,"Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family",
HC02_VC10,"Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family",
HC03_VC10,"Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family",x
HC04_VC10,"Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family",
HC01_VC11,"Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family - With own children of the householder under 18 years",
